data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.14', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3112', 'est[0.88,0.44,0.09,58]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2746', 'est[0.87,0.45,0.29,57]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.21', '1495[0.00,4.00,0.00]=3.73', '5B01[4.00,4.00,0.00]=4.81', 'le_us=2716', 'est[0.87,0.44,0.34,58]']"
"['CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.69', 'le_us=2746', 'est[0.87,0.44,0.35,57]']"
"['CD37[0.00,0.00,0.00]=1.08', '592F[4.00,0.00,0.00]=3.20', '1495[0.00,4.00,0.00]=3.70', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2777', 'est[0.87,0.44,0.39,57]']"
"['CD37[0.00,0.00,0.00]=1.11', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.73', '5B01[4.00,4.00,0.00]=4.68', 'le_us=2746', 'est[0.88,0.44,0.41,57]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.12', '1495[0.00,4.00,0.00]=3.70', '5B01[4.00,4.00,0.00]=4.70', 'le_us=2777', 'est[0.89,0.43,0.38,57]']"
"['CD37[0.00,0.00,0.00]=1.12', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.72', '5B01[4.00,4.00,0.00]=4.65', 'le_us=2746', 'est[0.91,0.43,0.38,57]']"
"['CD37[0.00,0.00,0.00]=1.21', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.70', '5B01[4.00,4.00,0.00]=4.63', 'le_us=2746', 'est[0.93,0.44,0.41,56]']"
"['CD37[0.00,0.00,0.00]=1.19', '592F[4.00,0.00,0.00]=3.04', '1495[0.00,4.00,0.00]=3.71', '5B01[4.00,4.00,0.00]=4.69', 'le_us=3112', 'est[0.94,0.42,0.17,58]']"
"['CD37[0.00,0.00,0.00]=1.23', '592F[4.00,0.00,0.00]=3.03', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.65', 'le_us=3112', 'est[0.95,0.42,-0.03,57]']"
"['CD37[0.00,0.00,0.00]=1.26', '592F[4.00,0.00,0.00]=2.99', '1495[0.00,4.00,0.00]=3.74', '5B01[4.00,4.00,0.00]=4.58', 'le_us=2746', 'est[0.98,0.43,0.09,55]']"
"['CD37[0.00,0.00,0.00]=1.28', '592F[4.00,0.00,0.00]=2.93', '1495[0.00,4.00,0.00]=3.77', '5B01[4.00,4.00,0.00]=4.64', 'le_us=3112', 'est[1.02,0.43,0.18,55]']"
"['CD37[0.00,0.00,0.00]=1.31', '592F[4.00,0.00,0.00]=3.00', '1495[0.00,4.00,0.00]=3.76', '5B01[4.00,4.00,0.00]=4.52', 'le_us=2807', 'est[1.04,0.43,0.27,56]']"
"['CD37[0.00,0.00,0.00]=1.32', '592F[4.00,0.00,0.00]=2.92', '1495[0.00,4.00,0.00]=3.82', '5B01[4.00,4.00,0.00]=4.57', 'le_us=2746', 'est[1.06,0.42,0.33,56]']"
"['CD37[0.00,0.00,0.00]=1.33', '592F[4.00,0.00,0.00]=2.89', '1495[0.00,4.00,0.00]=3.81', '5B01[4.00,4.00,0.00]=4.49', 'le_us=3051', 'est[1.12,0.40,0.12,56]']"
"['CD37[0.00,0.00,0.00]=1.39', '592F[4.00,0.00,0.00]=2.87', '1495[0.00,4.00,0.00]=3.78', '5B01[4.00,4.00,0.00]=4.50', 'le_us=2746', 'est[1.14,0.42,0.22,54]']"
"['CD37[0.00,0.00,0.00]=1.41', '592F[4.00,0.00,0.00]=2.81', '1495[0.00,4.00,0.00]=3.80', '5B01[4.00,4.00,0.00]=4.53', 'le_us=2746', 'est[1.17,0.42,0.27,54]']"
"['CD37[0.00,0.00,0.00]=1.47', '592F[4.00,0.00,0.00]=2.79', '1495[0.00,4.00,0.00]=3.80', '5B01[4.00,4.00,0.00]=4.49', 'le_us=2777', 'est[1.20,0.43,0.33,54]']"
"['CD37[0.00,0.00,0.00]=1.52', '592F[4.00,0.00,0.00]=2.83', '1495[0.00,4.00,0.00]=3.86', '5B01[4.00,4.00,0.00]=4.39', 'le_us=2838', 'est[1.22,0.43,0.42,55]']"
"['CD37[0.00,0.00,0.00]=1.51', '592F[4.00,0.00,0.00]=2.84', '1495[0.00,4.00,0.00]=3.86', '5B01[4.00,4.00,0.00]=4.43', 'le_us=2838', 'est[1.24,0.43,0.48,55]']"
"['CD37[0.00,0.00,0.00]=1.57', '592F[4.00,0.00,0.00]=2.74', '1495[0.00,4.00,0.00]=3.84', '5B01[4.00,4.00,0.00]=4.40', 'le_us=2777', 'est[1.27,0.44,0.52,54]']"
"['CD37[0.00,0.00,0.00]=1.62', '592F[4.00,0.00,0.00]=2.68', '1495[0.00,4.00,0.00]=3.89', '5B01[4.00,4.00,0.00]=4.45', 'le_us=2777', 'est[1.31,0.44,0.55,54]']"
"['CD37[0.00,0.00,0.00]=1.68', '592F[4.00,0.00,0.00]=2.69', '1495[0.00,4.00,0.00]=3.83', '5B01[4.00,4.00,0.00]=4.36', 'le_us=2777', 'est[1.35,0.46,0.58,53]']"
"['CD37[0.00,0.00,0.00]=1.69', '592F[4.00,0.00,0.00]=2.67', '1495[0.00,4.00,0.00]=3.87', '5B01[4.00,4.00,0.00]=4.38', 'le_us=2807', 'est[1.38,0.46,0.60,53]']"
"['CD37[0.00,0.00,0.00]=1.68', '592F[4.00,0.00,0.00]=2.58', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=4.36', 'le_us=2777', 'est[1.41,0.45,0.60,54]']"
"['CD37[0.00,0.00,0.00]=1.72', '592F[4.00,0.00,0.00]=2.62', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=4.38', 'le_us=2777', 'est[1.44,0.44,0.63,55]']"
"['CD37[0.00,0.00,0.00]=1.74', '592F[4.00,0.00,0.00]=2.53', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=4.35', 'le_us=2807', 'est[1.47,0.44,0.62,53]']"
"['CD37[0.00,0.00,0.00]=1.75', '592F[4.00,0.00,0.00]=2.55', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=4.38', 'le_us=2777', 'est[1.50,0.44,0.62,54]']"
"['CD37[0.00,0.00,0.00]=1.78', '592F[4.00,0.00,0.00]=2.53', '1495[0.00,4.00,0.00]=3.90', '5B01[4.00,4.00,0.00]=4.30', 'le_us=2777', 'est[1.52,0.45,0.62,52]']"
"['CD37[0.00,0.00,0.00]=1.81', '592F[4.00,0.00,0.00]=2.51', '1495[0.00,4.00,0.00]=3.91', '5B01[4.00,4.00,0.00]=4.33', 'le_us=2807', 'est[1.55,0.46,0.62,53]']"
"['CD37[0.00,0.00,0.00]=1.84', '592F[4.00,0.00,0.00]=2.47', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=4.28', 'le_us=2777', 'est[1.57,0.47,0.62,53]']"
"['CD37[0.00,0.00,0.00]=1.86', '592F[4.00,0.00,0.00]=2.47', '1495[0.00,4.00,0.00]=3.92', '5B01[4.00,4.00,0.00]=4.18', 'le_us=2777', 'est[1.60,0.48,0.63,54]']"
"['CD37[0.00,0.00,0.00]=1.89', '592F[4.00,0.00,0.00]=2.43', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=4.22', 'le_us=2746', 'est[1.63,0.48,0.64,53]']"
"['CD37[0.00,0.00,0.00]=1.93', '592F[4.00,0.00,0.00]=2.33', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=4.27', 'le_us=3051', 'est[1.67,0.48,0.61,58]']"
"['CD37[0.00,0.00,0.00]=1.93', '592F[4.00,0.00,0.00]=2.37', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=4.26', 'le_us=2746', 'est[1.69,0.48,0.62,54]']"
"['CD37[0.00,0.00,0.00]=1.99', '592F[4.00,0.00,0.00]=2.36', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=4.17', 'le_us=2746', 'est[1.72,0.49,0.62,57]']"
"['CD37[0.00,0.00,0.00]=1.99', '592F[4.00,0.00,0.00]=2.31', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=4.22', 'le_us=2990', 'est[1.74,0.51,0.61,61]']"
"['CD37[0.00,0.00,0.00]=2.01', '592F[4.00,0.00,0.00]=2.29', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=4.19', 'le_us=2777', 'est[1.77,0.51,0.60,59]']"
"['CD37[0.00,0.00,0.00]=2.06', '592F[4.00,0.00,0.00]=2.24', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=4.23', 'le_us=3112', 'est[1.81,0.52,0.59,62]']"
"['CD37[0.00,0.00,0.00]=2.10', '592F[4.00,0.00,0.00]=2.21', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=4.22', 'le_us=3082', 'est[1.84,0.53,0.58,64]']"
"['CD37[0.00,0.00,0.00]=2.08', '592F[4.00,0.00,0.00]=2.15', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=4.21', 'le_us=3143', 'est[1.87,0.54,0.54,66]']"
"['CD37[0.00,0.00,0.00]=2.16', '592F[4.00,0.00,0.00]=2.15', '1495[0.00,4.00,0.00]=4.02', '5B01[4.00,4.00,0.00]=4.09', 'le_us=2746', 'est[1.90,0.52,0.57,59]']"
"['CD37[0.00,0.00,0.00]=2.17', '592F[4.00,0.00,0.00]=2.14', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=4.09', 'le_us=2960', 'est[1.93,0.51,0.58,59]']"
"['CD37[0.00,0.00,0.00]=2.21', '592F[4.00,0.00,0.00]=2.08', '1495[0.00,4.00,0.00]=4.06', '5B01[4.00,4.00,0.00]=4.15', 'le_us=3143', 'est[1.97,0.48,0.60,54]']"
"['CD37[0.00,0.00,0.00]=2.22', '592F[4.00,0.00,0.00]=2.02', '1495[0.00,4.00,0.00]=4.13', '5B01[4.00,4.00,0.00]=4.08', 'le_us=2746', 'est[2.00,0.47,0.59,57]']"
"['592F[4.00,0.00,0.00]=2.05', 'CD37[0.00,0.00,0.00]=2.29', '5B01[4.00,4.00,0.00]=4.09', '1495[0.00,4.00,0.00]=4.05', 'le_us=3021', 'est[2.03,0.46,0.27,53]']"
"['592F[4.00,0.00,0.00]=2.04', 'CD37[0.00,0.00,0.00]=2.31', '5B01[4.00,4.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.10', 'le_us=2807', 'est[2.06,0.45,0.02,53]']"
"['592F[4.00,0.00,0.00]=1.99', 'CD37[0.00,0.00,0.00]=2.34', '5B01[4.00,4.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.08', 'le_us=3021', 'est[2.10,0.45,-0.16,53]']"
"['592F[4.00,0.00,0.00]=1.96', 'CD37[0.00,0.00,0.00]=2.36', '5B01[4.00,4.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.16', 'le_us=2777', 'est[2.12,0.45,-0.29,53]']"
"['592F[4.00,0.00,0.00]=1.96', 'CD37[0.00,0.00,0.00]=2.36', '5B01[4.00,4.00,0.00]=4.03', '1495[0.00,4.00,0.00]=4.09', 'le_us=3021', 'est[2.15,0.45,-0.39,53]']"
"['592F[4.00,0.00,0.00]=1.91', 'CD37[0.00,0.00,0.00]=2.43', '5B01[4.00,4.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.13', 'le_us=2990', 'est[2.18,0.45,-0.47,53]']"
"['592F[4.00,0.00,0.00]=1.87', 'CD37[0.00,0.00,0.00]=2.51', '5B01[4.00,4.00,0.00]=3.96', '1495[0.00,4.00,0.00]=4.16', 'le_us=2838', 'est[2.22,0.46,-0.53,53]']"
"['592F[4.00,0.00,0.00]=1.89', 'CD37[0.00,0.00,0.00]=2.44', '5B01[4.00,4.00,0.00]=3.96', '1495[0.00,4.00,0.00]=4.11', 'le_us=3021', 'est[2.24,0.46,-0.56,53]']"
"['592F[4.00,0.00,0.00]=1.83', 'CD37[0.00,0.00,0.00]=2.50', '5B01[4.00,4.00,0.00]=4.01', '1495[0.00,4.00,0.00]=4.22', 'le_us=2807', 'est[2.27,0.45,-0.60,54]']"
"['592F[4.00,0.00,0.00]=1.77', 'CD37[0.00,0.00,0.00]=2.45', '5B01[4.00,4.00,0.00]=3.97', '1495[0.00,4.00,0.00]=4.14', 'le_us=3021', 'est[2.29,0.44,-0.58,53]']"
"['592F[4.00,0.00,0.00]=1.76', 'CD37[0.00,0.00,0.00]=2.49', '5B01[4.00,4.00,0.00]=3.98', '1495[0.00,4.00,0.00]=4.19', 'le_us=3021', 'est[2.32,0.44,-0.58,54]']"
"['592F[4.00,0.00,0.00]=1.74', 'CD37[0.00,0.00,0.00]=2.51', '5B01[4.00,4.00,0.00]=4.02', '1495[0.00,4.00,0.00]=4.23', 'le_us=2990', 'est[2.34,0.41,-0.58,55]']"
"['592F[4.00,0.00,0.00]=1.75', 'CD37[0.00,0.00,0.00]=2.58', '5B01[4.00,4.00,0.00]=3.95', '1495[0.00,4.00,0.00]=4.19', 'le_us=2990', 'est[2.37,0.42,-0.61,54]']"
"['592F[4.00,0.00,0.00]=1.67', 'CD37[0.00,0.00,0.00]=2.59', '5B01[4.00,4.00,0.00]=3.91', '1495[0.00,4.00,0.00]=4.24', 'le_us=3051', 'est[2.40,0.42,-0.60,53]']"
"['592F[4.00,0.00,0.00]=1.66', 'CD37[0.00,0.00,0.00]=2.62', '5B01[4.00,4.00,0.00]=3.93', '1495[0.00,4.00,0.00]=4.24', 'le_us=2990', 'est[2.43,0.42,-0.60,54]']"
"['592F[4.00,0.00,0.00]=1.63', 'CD37[0.00,0.00,0.00]=2.62', '5B01[4.00,4.00,0.00]=3.88', '1495[0.00,4.00,0.00]=4.27', 'le_us=3021', 'est[2.45,0.43,-0.58,53]']"
"['592F[4.00,0.00,0.00]=1.62', 'CD37[0.00,0.00,0.00]=2.66', '5B01[4.00,4.00,0.00]=3.86', '1495[0.00,4.00,0.00]=4.33', 'le_us=2777', 'est[2.48,0.44,-0.58,53]']"
"['592F[4.00,0.00,0.00]=1.56', 'CD37[0.00,0.00,0.00]=2.67', '5B01[4.00,4.00,0.00]=3.82', '1495[0.00,4.00,0.00]=4.22', 'le_us=2990', 'est[2.50,0.45,-0.55,53]']"
"['592F[4.00,0.00,0.00]=1.58', 'CD37[0.00,0.00,0.00]=2.73', '5B01[4.00,4.00,0.00]=3.81', '1495[0.00,4.00,0.00]=4.29', 'le_us=3051', 'est[2.50,0.45,-0.26,54]']"
"['592F[4.00,0.00,0.00]=1.48', 'CD37[0.00,0.00,0.00]=2.80', '5B01[4.00,4.00,0.00]=3.82', '1495[0.00,4.00,0.00]=4.30', 'le_us=3021', 'est[2.55,0.45,-0.33,54]']"
"['592F[4.00,0.00,0.00]=1.47', 'CD37[0.00,0.00,0.00]=2.80', '5B01[4.00,4.00,0.00]=3.85', '1495[0.00,4.00,0.00]=4.34', 'le_us=2990', 'est[2.59,0.44,-0.39,55]']"
"['592F[4.00,0.00,0.00]=1.44', 'CD37[0.00,0.00,0.00]=2.85', '5B01[4.00,4.00,0.00]=3.85', '1495[0.00,4.00,0.00]=4.40', 'le_us=2990', 'est[2.63,0.43,-0.44,56]']"
"['592F[4.00,0.00,0.00]=1.46', 'CD37[0.00,0.00,0.00]=2.83', '5B01[4.00,4.00,0.00]=3.81', '1495[0.00,4.00,0.00]=4.33', 'le_us=3265', 'est[2.66,0.44,-0.48,55]']"
"['592F[4.00,0.00,0.00]=1.44', 'CD37[0.00,0.00,0.00]=2.92', '5B01[4.00,4.00,0.00]=3.81', '1495[0.00,4.00,0.00]=4.38', 'le_us=2746', 'est[2.70,0.44,-0.52,55]']"
"['592F[4.00,0.00,0.00]=1.36', 'CD37[0.00,0.00,0.00]=2.92', '5B01[4.00,4.00,0.00]=3.86', '1495[0.00,4.00,0.00]=4.42', 'le_us=2777', 'est[2.73,0.42,-0.54,57]']"
"['592F[4.00,0.00,0.00]=1.34', 'CD37[0.00,0.00,0.00]=2.95', '5B01[4.00,4.00,0.00]=3.81', '1495[0.00,4.00,0.00]=4.45', 'le_us=2777', 'est[2.76,0.42,-0.55,56]']"
"['592F[4.00,0.00,0.00]=1.32', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.77', '1495[0.00,4.00,0.00]=4.44', 'le_us=2777', 'est[2.80,0.42,-0.55,56]']"
"['592F[4.00,0.00,0.00]=1.34', 'CD37[0.00,0.00,0.00]=2.98', '5B01[4.00,4.00,0.00]=3.80', '1495[0.00,4.00,0.00]=4.47', 'le_us=3021', 'est[2.82,0.42,-0.57,56]']"
"['592F[4.00,0.00,0.00]=1.31', 'CD37[0.00,0.00,0.00]=3.01', '5B01[4.00,4.00,0.00]=3.79', '1495[0.00,4.00,0.00]=4.46', 'le_us=2777', 'est[2.84,0.42,-0.58,56]']"
"['592F[4.00,0.00,0.00]=1.27', 'CD37[0.00,0.00,0.00]=3.04', '5B01[4.00,4.00,0.00]=3.83', '1495[0.00,4.00,0.00]=4.51', 'le_us=2807', 'est[2.87,0.41,-0.59,57]']"
"['592F[4.00,0.00,0.00]=1.20', 'CD37[0.00,0.00,0.00]=3.03', '5B01[4.00,4.00,0.00]=3.78', '1495[0.00,4.00,0.00]=4.53', 'le_us=3051', 'est[2.90,0.41,-0.56,57]']"
"['592F[4.00,0.00,0.00]=1.20', 'CD37[0.00,0.00,0.00]=3.10', '5B01[4.00,4.00,0.00]=3.82', '1495[0.00,4.00,0.00]=4.50', 'le_us=2929', 'est[2.93,0.39,-0.57,58]']"
"['592F[4.00,0.00,0.00]=1.18', 'CD37[0.00,0.00,0.00]=3.13', '5B01[4.00,4.00,0.00]=3.77', '1495[0.00,4.00,0.00]=4.53', 'le_us=2777', 'est[2.96,0.40,-0.57,58]']"
"['592F[4.00,0.00,0.00]=1.16', 'CD37[0.00,0.00,0.00]=3.19', '5B01[4.00,4.00,0.00]=3.78', '1495[0.00,4.00,0.00]=4.64', 'le_us=2624', 'est[3.00,0.39,-0.59,58]']"
"['592F[4.00,0.00,0.00]=1.13', 'CD37[0.00,0.00,0.00]=3.22', '5B01[4.00,4.00,0.00]=3.73', '1495[0.00,4.00,0.00]=4.60', 'le_us=2777', 'est[3.03,0.40,-0.59,58]']"
"['592F[4.00,0.00,0.00]=1.08', 'CD37[0.00,0.00,0.00]=3.23', '5B01[4.00,4.00,0.00]=3.80', '1495[0.00,4.00,0.00]=4.65', 'le_us=2777', 'est[3.06,0.39,-0.59,59]']"
"['592F[4.00,0.00,0.00]=1.07', 'CD37[0.00,0.00,0.00]=3.22', '5B01[4.00,4.00,0.00]=3.70', '1495[0.00,4.00,0.00]=4.66', 'le_us=3021', 'est[3.05,0.38,-0.31,58]']"
"['592F[4.00,0.00,0.00]=1.05', 'CD37[0.00,0.00,0.00]=3.27', '5B01[4.00,4.00,0.00]=3.72', '1495[0.00,4.00,0.00]=4.66', 'le_us=2807', 'est[3.09,0.39,-0.36,59]']"
"['592F[4.00,0.00,0.00]=1.02', 'CD37[0.00,0.00,0.00]=3.26', '5B01[4.00,4.00,0.00]=3.72', '1495[0.00,4.00,0.00]=4.68', 'le_us=2746', 'est[3.12,0.39,-0.39,59]']"
"['592F[4.00,0.00,0.00]=0.95', 'CD37[0.00,0.00,0.00]=3.29', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.70', 'le_us=3234', 'est[3.16,0.43,-0.43,48]']"
"['592F[4.00,0.00,0.00]=0.95', 'CD37[0.00,0.00,0.00]=3.36', '5B01[4.00,4.00,0.00]=3.70', '1495[0.00,4.00,0.00]=4.70', 'le_us=2929', 'est[3.20,0.42,-0.45,59]']"
"['592F[4.00,0.00,0.00]=0.92', 'CD37[0.00,0.00,0.00]=3.34', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.76', 'le_us=3051', 'est[3.20,0.41,-0.21,59]']"
"['592F[4.00,0.00,0.00]=0.92', 'CD37[0.00,0.00,0.00]=3.34', '5B01[4.00,4.00,0.00]=3.74', '1495[0.00,4.00,0.00]=4.79', 'le_us=2746', 'est[3.22,0.40,-0.27,60]']"
"['592F[4.00,0.00,0.00]=0.92', 'CD37[0.00,0.00,0.00]=3.40', '5B01[4.00,4.00,0.00]=3.70', '1495[0.00,4.00,0.00]=4.82', 'le_us=2594', 'est[3.25,0.39,-0.33,58]']"
"['592F[4.00,0.00,0.00]=0.82', 'CD37[0.00,0.00,0.00]=3.39', '5B01[4.00,4.00,0.00]=3.73', '1495[0.00,4.00,0.00]=4.76', 'le_us=3173', 'est[3.22,0.35,-0.12,61]']"
"['592F[4.00,0.00,0.00]=0.82', 'CD37[0.00,0.00,0.00]=3.40', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.80', 'le_us=3021', 'est[3.27,0.39,-0.21,45]']"
"['592F[4.00,0.00,0.00]=0.81', 'CD37[0.00,0.00,0.00]=3.41', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.85', 'le_us=3234', 'est[3.31,0.41,-0.29,44]']"
"['592F[4.00,0.00,0.00]=0.75', 'CD37[0.00,0.00,0.00]=3.44', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.87', 'le_us=3540', 'est[3.35,0.43,-0.33,46]']"
"['592F[4.00,0.00,0.00]=0.80', 'CD37[0.00,0.00,0.00]=3.50', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.89', 'le_us=2807', 'est[3.35,0.40,-0.12,61]']"
"['592F[4.00,0.00,0.00]=0.73', 'CD37[0.00,0.00,0.00]=3.51', '5B01[4.00,4.00,0.00]=3.74', '1495[0.00,4.00,0.00]=4.83', 'le_us=3173', 'est[3.32,0.34,0.03,62]']"
"['592F[4.00,0.00,0.00]=0.69', 'CD37[0.00,0.00,0.00]=3.51', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.92', 'le_us=2960', 'est[3.38,0.38,-0.09,46]']"
"['592F[4.00,0.00,0.00]=0.70', 'CD37[0.00,0.00,0.00]=3.52', '5B01[4.00,4.00,0.00]=3.62', '1495[0.00,4.00,0.00]=4.89', 'le_us=2990', 'est[3.42,0.41,-0.17,52]']"
"['592F[4.00,0.00,0.00]=0.74', 'CD37[0.00,0.00,0.00]=3.57', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.97', 'le_us=2838', 'est[3.45,0.41,-0.23,51]']"
"['592F[4.00,0.00,0.00]=0.74', 'CD37[0.00,0.00,0.00]=3.55', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.90', 'le_us=2929', 'est[3.46,0.40,-0.27,53]']"
"['592F[4.00,0.00,0.00]=0.73', 'CD37[0.00,0.00,0.00]=3.58', '5B01[4.00,4.00,0.00]=3.70', '1495[0.00,4.00,0.00]=4.95', 'le_us=2746', 'est[3.48,0.39,-0.31,50]']"
"['592F[4.00,0.00,0.00]=0.71', 'CD37[0.00,0.00,0.00]=3.56', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.94', 'le_us=2960', 'est[3.51,0.42,-0.36,45]']"
"['592F[4.00,0.00,0.00]=0.67', 'CD37[0.00,0.00,0.00]=3.56', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.95', 'le_us=2990', 'est[3.53,0.43,-0.38,48]']"
"['592F[4.00,0.00,0.00]=0.72', 'CD37[0.00,0.00,0.00]=3.57', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.92', 'le_us=2960', 'est[3.53,0.42,-0.38,53]']"
"['592F[4.00,0.00,0.00]=0.70', 'CD37[0.00,0.00,0.00]=3.61', '5B01[4.00,4.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.94', 'le_us=2960', 'est[3.54,0.40,-0.39,49]']"
"['592F[4.00,0.00,0.00]=0.67', 'CD37[0.00,0.00,0.00]=3.58', '5B01[4.00,4.00,0.00]=3.66', '1495[0.00,4.00,0.00]=4.96', 'le_us=2960', 'est[3.56,0.43,-0.41,50]']"
"['592F[4.00,0.00,0.00]=0.73', 'CD37[0.00,0.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.90', 'le_us=2929', 'est[3.56,0.41,-0.41,48]']"
"['592F[4.00,0.00,0.00]=0.70', 'CD37[0.00,0.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.91', 'le_us=2929', 'est[3.56,0.40,-0.41,51]']"
"['592F[4.00,0.00,0.00]=0.72', 'CD37[0.00,0.00,0.00]=3.58', '5B01[4.00,4.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.97', 'le_us=2868', 'est[3.55,0.41,-0.39,51]']"
"['592F[4.00,0.00,0.00]=0.71', '5B01[4.00,4.00,0.00]=3.67', '1495[0.00,4.00,0.00]=4.94', 'le_us=823', 'est[3.51,0.38,-0.18,72]']"
"['592F[4.00,0.00,0.00]=0.74', 'CD37[0.00,0.00,0.00]=3.57', '5B01[4.00,4.00,0.00]=3.61', '1495[0.00,4.00,0.00]=4.92', 'le_us=2960', 'est[3.53,0.42,-0.26,49]']"
"['592F[4.00,0.00,0.00]=0.69', 'CD37[0.00,0.00,0.00]=3.55', '5B01[4.00,4.00,0.00]=3.72', '1495[0.00,4.00,0.00]=4.90', 'le_us=2929', 'est[3.53,0.40,-0.29,60]']"
"['592F[4.00,0.00,0.00]=0.73', 'CD37[0.00,0.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=3.68', '1495[0.00,4.00,0.00]=4.93', 'le_us=2777', 'est[3.53,0.39,-0.32,49]']"
"['592F[4.00,0.00,0.00]=0.72', 'CD37[0.00,0.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=3.64', '1495[0.00,4.00,0.00]=4.95', 'le_us=2594', 'est[3.54,0.39,-0.34,49]']"
"['592F[4.00,0.00,0.00]=0.68', 'CD37[0.00,0.00,0.00]=3.56', '5B01[4.00,4.00,0.00]=3.70', '1495[0.00,4.00,0.00]=4.90', 'le_us=2929', 'est[3.54,0.38,-0.34,58]']"
"['592F[4.00,0.00,0.00]=0.65', 'CD37[0.00,0.00,0.00]=3.56', '5B01[4.00,4.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.97', 'le_us=3234', 'est[3.55,0.40,-0.36,48]']"
