data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.14', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3051', 'est[0.85,0.44,-0.01,56]']"
"['CD37[0.00,0.00,0.00]=1.09', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.77', 'le_us=3021', 'est[0.88,0.45,0.15,56]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3021', 'est[0.88,0.45,0.18,56]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=4.72', 'le_us=3265', 'est[0.86,0.44,0.03,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.66', 'le_us=3021', 'est[0.88,0.43,-0.11,58]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.20', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2746', 'est[0.87,0.44,-0.02,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.14', '1495[0.00,4.00,0.00]=3.70', '5B01[4.00,4.00,0.00]=4.71', 'le_us=2777', 'est[0.88,0.44,0.06,57]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.20', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3051', 'est[0.88,0.42,-0.09,58]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2746', 'est[0.88,0.43,0.01,57]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.72', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2868', 'est[0.88,0.43,0.10,58]']"
"['CD37[0.00,0.00,0.00]=0.96', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.77', 'le_us=2777', 'est[0.87,0.43,0.12,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.71', '5B01[4.00,4.00,0.00]=4.74', 'le_us=2777', 'est[0.87,0.42,0.19,58]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.16', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.78', 'le_us=3082', 'est[0.87,0.43,0.20,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.68', 'le_us=3051', 'est[0.88,0.42,0.01,58]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.20', '1495[0.00,4.00,0.00]=3.69', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3051', 'est[0.89,0.41,-0.12,58]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.72', 'le_us=2746', 'est[0.89,0.42,-0.04,56]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.21', '1495[0.00,4.00,0.00]=3.73', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2807', 'est[0.88,0.41,0.08,58]']"
