data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.99', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5249', 'est[-0.04,-0.03,-0.01,70]']"
"['5B01[4.00,4.00,0.00]=5.63', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.48', '1495[0.00,4.00,0.00]=3.92', 'le_us=6500', 'est[-0.05,-0.06,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.05', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.67']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.00', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.88', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.88', '1495[0.00,4.00,0.00]=4.01', 'le_us=6134', 'est[-0.04,-0.05,-0.02,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.16', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=5.66']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.82', '1495[0.00,4.00,0.00]=3.95']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.53', '1495[0.00,4.00,0.00]=3.97', 'le_us=6530', 'est[-0.04,-0.05,-0.02,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.05', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5523', 'est[-0.05,-0.06,-0.03,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.30', '1495[0.00,4.00,0.00]=4.02', '5B01[4.00,4.00,0.00]=5.72']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.26', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.21', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=4.01']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.05', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=3.93']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.88', '1495[0.00,4.00,0.00]=3.95', 'le_us=6500', 'est[-0.06,-0.05,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.94', '592F[4.00,0.00,0.00]=5.81', '5B01[4.00,4.00,0.00]=5.63', 'le_us=5523', 'est[-0.06,-0.05,-0.04,67]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=5.86', '5B01[4.00,4.00,0.00]=5.65', 'le_us=5249', 'est[-0.05,-0.03,-0.03,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.97', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.70']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.88', '1495[0.00,4.00,0.00]=3.93']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.83', '1495[0.00,4.00,0.00]=3.95']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.47', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.12', '1495[0.00,4.00,0.00]=3.96']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.24', '1495[0.00,4.00,0.00]=3.99', 'le_us=6103', 'est[-0.03,-0.02,-0.02,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=5.83', '5B01[4.00,4.00,0.00]=5.68', 'le_us=5218', 'est[-0.03,-0.02,-0.02,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=4.23', '5B01[4.00,4.00,0.00]=5.61', 'le_us=5523', 'est[-0.02,-0.03,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.04', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.62', 'le_us=5523', 'est[-0.02,-0.05,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.92', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.67']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.82', '1495[0.00,4.00,0.00]=3.95']"
"['5B01[4.00,4.00,0.00]=5.66', '592F[4.00,0.00,0.00]=5.88', '1495[0.00,4.00,0.00]=3.93', 'le_us=640', 'est[-0.03,0.55,-0.91,76]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.04', '592F[4.00,0.00,0.00]=5.82', '5B01[4.00,4.00,0.00]=5.74']"
"['5B01[4.00,4.00,0.00]=5.61', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.86', 'le_us=6744', 'est[-0.06,0.39,-0.71,72]']"
