data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.03', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.81', 'le_us=4241', 'est[0.87,0.39,0.16,57]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.69', 'le_us=3478', 'est[0.89,0.44,0.40,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.58', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3692', 'est[0.90,0.44,0.42,56]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.58', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3936', 'est[0.90,0.45,0.43,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3478', 'est[0.89,0.45,0.45,57]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.05', '1495[0.00,4.00,0.00]=3.58', '5B01[4.00,4.00,0.00]=4.69', 'le_us=3723', 'est[0.90,0.45,0.45,57]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3631', 'est[0.89,0.43,0.21,58]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3753', 'est[0.90,0.44,0.29,57]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.74', 'le_us=3723', 'est[0.90,0.43,0.34,58]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.56', '5B01[4.00,4.00,0.00]=4.72', 'le_us=3692', 'est[0.89,0.44,0.37,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3326', 'est[0.88,0.43,0.20,58]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.12', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.61', 'le_us=3417', 'est[0.90,0.43,0.05,56]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.77', 'le_us=3540', 'est[0.86,0.40,-0.11,60]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3509', 'est[0.87,0.41,0.06,57]']"
